app_id,app_title,review_id,review_publish_time,review_score,review_author_user_id,review_author_user_name,device,review_played_spent,up_rating_aspects,down_rating_aspects,review_content_raw_text,comments,review_up_votes,review_down_votes
776320,星布谷地,46445892,2025-09-25 16:34:08,3,5951550,尘星,华为麦芒5,,[],[],"因还未开放测试，所以三星中评
我就只提一点，请米忽悠务必防范重蹈动森被国内封禁的覆辙
动森被封是因有畜利用DIY自由家园摆放zz，直接踩了底线和红线，动森本身没什么问题，算是保护性封禁吧
动森被封也就一两年前的事，所以必要的防范措施还是必须要有的",6.0,18.0,
776320,星布谷地,46445507,2025-09-25 15:45:07,5,60200441,酱油酱,Android 设备,,[],[],"抄就是抄了呗，腾讯网易抄的不少大家也都随便嘲讽随便骂，但为啥到米哈游这就有人捂嘴呢？像平时骂腾讯三角洲王者啥的大家都是跟着一起骂，到米游这就成带节奏了。
挺喜欢这种种田类型游戏的，动森玩了很久，和别人一起玩挺开心的，所以会试试这游戏。这种类型游戏社交玩法应该不少，唯一顾虑的就是游戏社交时遇到米卫兵，和这种人一起玩想想就会生理不适",1.0,7.0,2.0
776320,星布谷地,46445448,2025-09-25 15:36:59,4,432200321,林染,小米Xiaomi Civi 1S,,[],[],"看起来是治愈类型……不知道米哈游能不能给我惊喜，如果跟心动小镇差不多的我懒得玩,还有点小失望没有帅哥美女全是福瑞……我还以为会跟星露谷一样可以找对象哈哈😪",,,
776320,星布谷地,46445430,2025-09-25 15:35:11,1,8057941,仿效,Android 设备,,[],[],把牢任当素材库了😁,,21.0,11.0
776320,星布谷地,46445396,2025-09-25 15:31:07,5,320473917,坐骑塞尔达,Realme X50 Pro Play,,[],[],感觉比星露谷好玩诶，建议星露谷作者来学习一下😋😋,1.0,1.0,
776320,星布谷地,46445089,2025-09-25 14:51:45,5,695012799,临,Android 设备,,[],[],期待,,,
776320,星布谷地,46445050,2025-09-25 14:47:19,5,322081131,泷,Redmi K60 Pro,,[],[],明天就公测好吗，真的很喜欢这画风和玩法😋,,,
776320,星布谷地,46444900,2025-09-25 14:32:17,5,111191976,User111191976,PC 客户端,,[],[],星露谷300+小时报道，期待一手,,1.0,
776320,星布谷地,46444758,2025-09-25 14:14:46,1,7335283,白熊先生叫威尔,Android 设备,,[],[],画风内容学动森，名字学星露谷，擦边还是你mhy会擦,,10.0,13.0
776320,星布谷地,46444719,2025-09-25 14:10:05,1,602224850,熊大爷,Android 设备,,[],[],先抄塞尔达，再抄宝可梦，还以为下一个抄马里奥，没想到抄上了动森,,14.0,17.0
776320,星布谷地,46444684,2025-09-25 14:05:10,5,630583525,一勺冰淇淋,OPPO A2 5G,,[],[],😃我感觉这款游戏的画风很治愈，然后视角也有挺有趣的，像动森，哈哈，希望多些互动动作，这样应该会更有代入感了,,3.0,
776320,星布谷地,46444630,2025-09-25 13:58:27,5,20653234,六崽,小米Xiaomi 14,,[],[],建议直接搞一个米梦派对，把所有模式整合到一起😇,,1.0,
776320,星布谷地,46444425,2025-09-25 13:36:41,3,112307914,scp丶天网(会长),Vivo V1962A,,[],[],自由度可以在高一点，现在的玩法有点少了,,1.0,
776320,星布谷地,46443917,2025-09-25 12:47:20,5,484751992,无花露,Redmi K70 Ultra,,[],[],动物森友会,,,
776320,星布谷地,46439038,2025-09-25 03:55:47,1,427888069,如云似风,华为ALT-AL10,,[],[],"期待，看能玩出什么花
编辑一下，评论区的mxz太招笑了，星露谷都没名气了😂快进到没有米哈游谁知道星露谷啊😂",1.0,2.0,2.0
776320,星布谷地,46443736,2025-09-25 12:29:01,5,587905384,天枢梦萤,Vivo IQOO Z8,,[],[],挺期待的，这么多年了经营种田类的游戏都是挺乱的换皮和氪金的，很少有做的很好的，选在米哈游来了天亮了，模拟经营种田游戏终于要来标杆了,,7.0,2.0
776320,星布谷地,46443609,2025-09-25 12:12:33,5,98981732,落溪,Android 设备,,[],[],希望能出多点毛茸茸角色，只喜欢毛茸茸,,,
776320,星布谷地,46443521,2025-09-25 12:00:24,5,97893902,ハルヒとミツバ,Vivo V2061A,,[],[],那些带节奏的省省吧，有这个能耐能不能去无限大，心动那边说一下呢，外加一个那个腾讯的小人国，现在还是预约的，里面内容都堪比于心动，动森差不多了，模拟经营，种田类游戏多了去了，也没见到你们一个个都有这么个能耐的，去刷别的游戏那边的吐槽，看了一个个刷差评的全都是不是玩米就是玩，方舟的，甚至还有一个是鸣潮的，还有一个神人是时空未来人的，能测评三小时的也是没谁了，真服了各位一个个都哪来的勇气，还有一个是抄袭动森的，懂不懂叫借鉴啊，那动森还跟星露谷有点擦边的，你们也没说话，再说了，一个个模拟经营类的游戏多少有点相关的，也不bb，那原神那时候还是塞尔达的时候确实是有点类似，但鸣潮呢，开服本身就晚，还一个个都说，啊，原神的角色跟鸣潮的角色一模一样的，你们时间都不会看的人也是无敌了，无限大还是网易那边的，游戏内容里面都是各种各样的缝合，也没见到你们bb的，或多或少，就是知道了，我就不说，我是要看到米出的一个跟别的游戏相关的我就说，那我只能说，带节奏的你，就如同于鸣潮的爹太牛了好吧，就是见不得米的好就对了，米黑子就这样，像玩米的玩家基本上跟他们说，就基本上看不见，或者根本没听到,5.0,16.0,1.0
776320,星布谷地,46443375,2025-09-25 11:43:13,5,64954034,泰瑞,Android 设备,,[],[],啥时候能玩,,1.0,
776320,星布谷地,46443151,2025-09-25 11:18:08,1,2167122,天心,红米 K70,,[],[],"填了半天测试券，最后给我要tap的id，退出来复制进去全部没了😨
就不能把填写id的放在第一页吗，或者一键复制的功能",1.0,,1.0
776320,星布谷地,46442897,2025-09-25 10:50:59,5,56010387,阿茶,一加手机Ace 5 Pro,,[],[],什么时候出啊，我现在就想玩到！,,,
776320,星布谷地,46442581,2025-09-25 10:09:05,5,600188799,殷雅,vivo Y3,,[],[],气死我了，每次出新游戏都来支持你，结果长夜月90抽而且大保底吃满才出。光锥也是80多抽歪70多抽才出。懂点事好不好😠,,1.0,
776320,星布谷地,46442486,2025-09-25 09:58:29,1,588714783,梵高の帽子,Android 设备,,[],[],迷你世界抄MC好歹还有点原创内容，米哈游换个画风直接照搬，腾讯网易抄袭都可以骂，就你米哈游孝子多骂不得，只会捂嘴和团建🤣,,61.0,27.0
776320,星布谷地,46442442,2025-09-25 09:53:48,1,53516058,I like you but,小米24122RKC7C,,[],[],"直接劝退建模画风太儿童化了在朋友面前丢不起这个人
",,7.0,21.0
