,review_id,token_count
451,40494696,103
452,40486159,65
453,40477004,99
454,40483794,72
455,40452863,74
456,40453378,77
457,40443821,52
458,40443399,58
459,40448591,112
460,40450776,64
461,40449385,27
462,40449080,60
463,40448008,39
464,40428802,41
465,40446057,18
466,40445426,24
467,40428647,51
468,40422579,55
469,40418108,79
470,40418889,101
471,40412139,58
472,40410389,58
473,40416443,26
474,40414577,14
475,40400244,65
476,40407352,18
477,40365481,88
478,40363296,80
479,40372078,40
480,40369659,16
481,40366895,13
482,40362748,31
483,40340137,59
484,40356805,27
485,40329649,72
486,40307701,22
487,40343973,27
488,40343361,57
489,40305655,54
490,35893937,30
491,40335578,22
492,40326956,53
493,40324728,13
494,40313193,149
495,40308951,21
496,40284450,25
497,40275529,87
498,40255067,33
499,40275580,402
500,40272054,68
501,40258816,105
502,40254093,143
503,40249091,12
504,40193056,57
505,40214074,40
506,40198331,94
507,40212003,58
508,40170610,54
509,40159832,53
510,40160360,60
511,40156289,124
512,40135346,55
513,34687307,15
514,40149273,38
515,40137865,18
516,40127813,39
517,34543621,56
518,40126854,53
519,40093884,57
520,40100886,64
521,40090999,44
522,40087418,14
523,40083800,29
524,40047033,49
525,40079156,34
526,40078291,35
527,40078239,31
528,40073284,308
529,40068459,26
530,40068075,27
531,40067727,18
532,40053384,37
533,40032785,221
534,40010492,79
535,40026386,12
536,40024852,14
537,40017493,50
538,40015122,13
539,39999560,67
540,39983277,62
541,39996993,16
542,39996426,34
543,39988216,117
544,39969631,56
545,39956141,60
546,39940905,32
547,39939276,12
548,39904738,51
549,39890046,450
550,39886803,222
551,37855461,189
552,39880801,26
553,39826432,16
554,39818707,31
555,39805040,17
556,39801001,50
557,39792087,14
558,39784544,34
559,39762982,32
560,39749509,39
561,38818742,23
562,39699219,51
563,39695441,31
564,39671188,17
565,39665481,27
566,39583002,48
567,39628142,105
568,39626444,32
569,39602121,44
570,39586293,20
571,34656303,84
572,39507840,183
573,39504848,15
574,39503477,16
575,24906541,47
576,39496681,21
577,39489227,37
578,39474428,18
579,39465740,18
580,39446573,11
581,39435712,26
582,39433521,52
583,39430566,95
584,39429394,12
585,39429322,22
586,39423046,37
587,39414411,17
588,36864699,202
589,39404904,63
590,39398965,20
591,39377871,57
592,39363940,28
593,34543449,160
594,39297487,30
595,39288028,11
596,39280370,15
597,39237410,54
598,39208109,24
599,39202152,42
600,39174911,24
601,39148719,63
602,39138286,153
603,39115208,20
604,39089856,20
